------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        5.6480867e-17
         0.071428571,        7.8527331e-16
          0.14285714,         1.431032e-14
          0.21428571,        2.3065998e-13
          0.28571429,        3.6644069e-12
          0.35714286,        5.8165581e-11
          0.42857143,        9.1688036e-10
                 0.5,        1.3735235e-08
          0.57142857,        1.4724824e-07
          0.64285714,        7.9345685e-07
          0.71428571,        2.4786939e-06
          0.78571429,        4.9963297e-06
          0.85714286,         8.221812e-06
          0.92857143,         1.094674e-05
                   1,        1.6813279e-05

