------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        4.4170536e-15
         0.052631579,        2.5036285e-14
          0.10526316,        1.4696024e-13
          0.15789474,        8.6452997e-13
          0.21052632,        5.1108918e-12
          0.26315789,         3.022317e-11
          0.31578947,        1.7754369e-10
          0.36842105,        1.0241799e-09
          0.42105263,        5.6862101e-09
          0.47368421,        2.9217251e-08
          0.52631579,        1.3085583e-07
          0.57894737,        4.5188782e-07
          0.63157895,        1.1801538e-06
          0.68421053,        2.3768263e-06
          0.73684211,        4.0901033e-06
          0.78947368,        6.0538175e-06
          0.84210526,        8.5710144e-06
          0.89473684,        9.9149613e-06
          0.94736842,        2.2429313e-05
                   1,        1.5334571e-05

