------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        4.4170536e-15
                0.05,        2.2949102e-14
                 0.1,        1.2319575e-13
                0.15,        6.6240867e-13
                 0.2,        3.5806434e-12
                0.25,        1.9383867e-11
                 0.3,         1.044868e-10
                0.35,        5.5628618e-10
                 0.4,        2.8818618e-09
                0.45,        1.4193102e-08
                 0.5,        6.3443657e-08
                0.55,        2.3833926e-07
                 0.6,         6.855876e-07

